,quantity,unit_price,discount_percent,shipping_cost,Year,rating,customer_segment_Gold,customer_segment_Premium,product_name_External HDD,product_name_Gaming Chair,product_name_Headphones,product_name_Keyboard,product_name_Laptop,product_name_Monitor,product_name_Mouse,product_name_Phone Stand,product_name_Power Bank,product_name_Printer,product_name_Router,product_name_Smart Watch,product_name_Speakers,product_name_Tablet,subtotal,discount_amount,Revenue
0,2,13834.28,0.24,96.2,2023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27668.56,6640.4544,21124.305600000003
1,2,12684.38,0.31,48.06,2024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25368.76,7864.315599999999,17552.5044
5,2,5265.59,0.36,8.27,2023,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10531.18,3791.2248,6748.225200000001
6,9,48124.58,0.34,34.94,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433121.22000000003,147261.21480000002,285894.9452
7,1,11186.49,0.07,50.32,2023,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11186.49,783.0543,10453.7557
11,8,7731.97,0.03,35.45,2024,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,61855.76,1855.6728,60035.5372
12,1,9093.81,0.01,40.23,2023,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9093.81,90.93809999999999,9043.1019
14,1,11772.72,0.14,55.84,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11772.72,1648.1808,10180.3792
15,3,6570.95,0.34,75.98,2024,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19712.85,6702.369,13086.461
17,5,10482.46,0.2,11.36,2023,3.78987608752966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52412.299999999996,10482.46,41941.2
18,1,11932.32,0.29,7.37,2023,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11932.32,3460.3727999999996,8479.317200000001
20,6,872.87,0.35,34.81,2024,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5237.22,1833.027,3439.003
21,3,13632.96,0.11,57.3,2024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40898.88,4498.8768,36457.3032
23,1,3457.62,0.25,4.12,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3457.62,864.405,2597.335
24,2,3186.2,0.01,67.23,2024,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6372.4,63.724,6375.905999999999
25,2,820.27,0.226172997290527,60.98,2023,3.78987608752966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1640.54,371.04584897500115,1330.4741510249987
26,7,6852.33,0.19,64.39,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47966.31,9113.598899999999,38917.1011
27,10,10342.77,0.21,71.65,2023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,103427.70000000001,21719.817000000003,81779.533
28,6,52610.38,0.31,7.52,2023,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315662.27999999997,97855.30679999999,217814.49319999997
30,5,2556.27,0.17,29.39,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12781.35,2172.8295000000003,10637.9105
31,1,2343.32,0.22,6.32,2023,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2343.32,515.5304,1834.1096
32,8,5906.21,0.3,12.49,2024,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47249.68,14174.904,33087.265999999996
34,1,3390.24,0.11,28.16,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3390.24,372.9264,3045.4736
35,1,61648.88,0.03,15.62,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61648.88,1849.4663999999998,59815.0336
36,2,1926.22,0.03,82.98,2024,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3852.44,115.5732,3819.8468000000003
37,2,7307.6,0.37,32.24,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14615.2,5407.624,9239.816
38,4,12235.18,0.226172997290527,3.58,2024,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48940.72,11069.069331956442,37875.23066804356
39,7,2818.9,0.11,8.33,2024,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19732.3,2170.553,17570.077
40,8,2922.02,0.26,4.25,2024,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23376.16,6077.8016,17302.6084
